Mark,Competitor,Nat_x,Location,Discipline,Date,Results Score,Nat_y,Birthdate,Event,Days Since Performance,Weighted Score
3:31.53,HOBBS KESSLER,USA,"Hayward Field, Eugene, OR (USA)",1500m,2024-06-24,1223,USA,15 Mar 2003,"1500m, 800m",38,1177.397926709937
8:01.63,LAMECHA GIRMA,ETH,"Olympiastadion, Stockholm (SWE)",3000m SC,2024-06-02,1250,ETH,26 Nov 2000,3000m SC,60,1177.205666980311
1:43.64,HOBBS KESSLER,USA,"Hayward Field, Eugene, OR (USA)",800m,2024-06-30,1215,USA,15 Mar 2003,"1500m, 800m",32,1176.735497226225
3:45.60,JAKOB INGEBRIGTSEN,NOR,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1259,NOR,19 Sep 2000,"1500m, 5000m",68,1176.2339362337118
13:00.74,EGIDE NTAKARUTIMANA,BDI,"Parc des Sports, Maisons-Laffitte (FRA)",5000m,2024-07-06,1207,BDI,21 Oct 1997,5000m,26,1176.0224531577605
26:55.51,MERHAWI MEBRAHTU,ERI,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",10000m,2024-06-14,1233,ERI,21 Sep 2003,10000m,48,1175.2139594665634
3:50.92,FILIP RAK,POL,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1189,POL,03 Feb 2003,1500m,12,1174.8172665928355
3:33.29,MAËL GOUYETTE,FRA,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1198,FRA,21 May 1999,1500m,20,1174.2780106214927
3:51.00,JOCHEM VERMEULEN,BEL,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1188,BEL,02 Aug 1998,1500m,12,1173.8291948799736
1:44.22,EDMUND DU PLESSIS,RSA,"Morton Stadium, Dublin (IRL)",800m,2024-07-12,1197,RSA,05 Apr 2002,800m,20,1173.297811948186
12:49.65,ADDISU YIHUNE,ETH,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1248,ETH,17 Mar 2003,5000m,63,1171.8014551640383
13:02.25,NICHOLAS KIPKORIR,KEN,"FBK Stadium, Hengelo (NED)",5000m,2024-07-07,1201,KEN,29 Sep 1998,10000m,25,1171.3472043460274
3:33.92,ANASS ESSAYI,MAR,"Stadion Allmend, Luzern (SUI)",1500m,2024-07-16,1190,MAR,18 May 2001,1500m,16,1171.1115108657893
8:12.97,LEONARD KIPKEMOI BETT,KEN,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1198,KEN,03 Nov 2000,3000m SC,25,1168.4212746099424
8:13.11,JEAN-SIMON DESGAGNÉS,CAN,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1198,CAN,26 Jul 1998,3000m SC,25,1168.4212746099424
12:50.58,LUIS GRIJALVA,GUA,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1244,GUA,10 Apr 1999,5000m,63,1168.0456812692817
3:46.22,YARED NUGUSE,USA,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1250,USA,01 Jun 1999,1500m,68,1167.8255919715168
12:50.94,ANDREAS ALMGREN,SWE,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1243,SWE,12 Jun 1995,5000m,63,1167.1067377955926
1:43.97,BRANDON MILLER,USA,"Hayward Field, Eugene, OR (USA)",800m,2024-06-30,1205,USA,30 Jan 2002,800m,32,1167.050431405433
12:59.19,OSCAR CHELIMO,UGA,"LAZ Wien, Wien (AUT)",5000m,2024-06-22,1213,UGA,12 Dec 2001,5000m,40,1165.437589691768
8:14.10,MOHAMED TINDOUFT,MAR,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1193,MAR,12 Mar 1993,3000m SC,25,1163.5447250498007
12:51.94,JOSHUA CHEPTEGEI,UGA,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1239,UGA,12 Sep 1996,"10000m, 5000m",63,1163.3509639008362
3:34.42,ISAAC NADER,POR,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1183,POR,17 Aug 1999,1500m,20,1159.5750305218914
26:50.94,NICHOLAS KIPKORIR,KEN,"Hayward Field, Eugene, OR (USA)",10000m,2024-05-25,1241,KEN,29 Sep 1998,10000m,68,1159.417247709322
26:50.81,DANIEL MATEIKO,KEN,"Hayward Field, Eugene, OR (USA)",10000m,2024-05-25,1241,KEN,04 Aug 1998,10000m,68,1159.417247709322
8:05.78,SAMUEL FIREWU,ETH,"Olympiastadion, Stockholm (SWE)",3000m SC,2024-06-02,1231,ETH,03 May 2004,3000m SC,60,1159.3121408422103
26:51.09,BENARD KIBET,KEN,"Hayward Field, Eugene, OR (USA)",10000m,2024-05-25,1240,KEN,25 Nov 1999,10000m,68,1158.4829872357448
26:51.54,EDWIN KURGAT,KEN,"Hayward Field, Eugene, OR (USA)",10000m,2024-05-25,1240,KEN,19 May 1996,5000m,68,1158.4829872357448
3:52.30,ELLIOT GILES,GBR,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1171,GBR,26 May 1994,"1500m, 800m",12,1157.0319757613206
8:13.87,JAMES CORRIGAN,USA,"Franklin Field, Philadelphia, PA (USA)",3000m SC,2024-06-29,1194,USA,16 Apr 2002,3000m SC,33,1155.2410401493041
3:31.06,ELLIOT GILES,GBR,"Bislett Stadion, Oslo (NOR)",1500m,2024-05-30,1230,GBR,26 May 1994,"1500m, 800m",63,1154.9004726376338
3:32.37,ABDISA FAYISA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",1500m,2024-06-14,1211,ETH,24 Apr 2005,1500m,48,1154.2450161508582
27:09.74,ARON KIFLE,ERI,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",10000m,2024-06-14,1211,ERI,20 Feb 1998,5000m,48,1154.2450161508582
12:54.97,JIMMY GRESSIER,FRA,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1228,FRA,04 May 1997,"10000m, 5000m",63,1153.0225856902557
1:44.12,PEYTON CRAIG,AUS,"LAZ Wien, Wien (AUT)",800m,2024-06-22,1200,AUS,28 Mar 2005,800m,40,1152.947326982788
26:55.09,BENSON KIPLANGAT,KEN,"Hayward Field, Eugene, OR (USA)",10000m,2024-05-25,1234,KEN,17 Jun 2003,10000m,68,1152.8774243942814
3:35.31,MARIO GARCÍA,ESP,"Stadion Allmend, Luzern (SUI)",1500m,2024-07-16,1170,ESP,29 Jun 1999,1500m,16,1151.4289644646835
3:30.92,JOSH KERR,GBR,"Hayward Field, Eugene, OR (USA)",1500m,2024-05-25,1232,GBR,08 Oct 1997,1500m,68,1151.008903447127
3:52.06,CATHAL DOYLE,IRL,"Morton Stadium, Dublin (IRL)",Mile,2024-07-12,1174,IRL,12 Nov 1997,1500m,20,1150.7532424621306
13:02.38,ABDI WAISS,DJI,"Stade de Stehelin, Bordeaux (FRA)",5000m,2024-06-19,1201,DJI,03 Jul 1996,5000m,43,1150.4515794705037
12:55.78,SAMUEL TEFERA,ETH,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1225,ETH,23 Oct 1999,1500m,63,1150.205755269188
12:51.60,SELEMON BAREGA,ETH,"Drake Stadium, Los Angeles, CA (USA)",5000m,2024-05-17,1241,ETH,20 Jan 2000,"10000m, 5000m",76,1150.1789123401934
3:36.11,SEAN MCGORTY,USA,"Tooting Bec Athletics Track, London (GBR)",1500m,2024-07-24,1159,USA,08 Mar 1995,5000m,8,1149.7649892961533
27:12.89,HAGOS GEBRHIWET,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",10000m,2024-06-14,1206,ETH,11 May 1994,5000m,48,1149.4793472154706
3:47.74,NEIL GOURLEY,GBR,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1230,GBR,07 Feb 1995,1500m,68,1149.1403824999727
3:35.19,PIETRO ARESE,ITA,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1172,ITA,08 Oct 1999,1500m,20,1148.7928451155171
3:32.81,SAMUEL TEFERA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",1500m,2024-06-14,1205,ETH,23 Oct 1999,1500m,48,1148.5262134283932
1:44.57,JOSE MAITA,VEN,"Estadio Brigido Iriarte, Caracas (VEN)",800m,2024-06-29,1187,VEN,17 Apr 1998,800m,33,1148.4682702321809
12:52.09,BERIHU AREGAWI,ETH,"Drake Stadium, Los Angeles, CA (USA)",5000m,2024-05-17,1239,ETH,28 Feb 2001,10000m,76,1148.3252799270747
3:36.52,SAMUEL TANNER,NZL,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",1500m,2024-07-27,1154,NZL,24 Aug 2000,1500m,5,1148.2444009883554
3:47.83,JAKE WIGHTMAN,GBR,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1229,GBR,11 Jul 1994,800m,68,1148.2061220263954
12:56.67,ADRIAAN WILDSCHUTT,RSA,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1222,RSA,03 May 1998,10000m,63,1147.3889248481207
3:52.41,BRIAN FAY,IRL,"Morton Stadium, Dublin (IRL)",Mile,2024-07-12,1170,IRL,09 Nov 1998,5000m,20,1146.8324477689036
1:45.17,TIBO DE SMET,BEL,"Sportcentrum Wembley, Kortrijk (BEL)",800m,2024-07-13,1168,BEL,28 May 1999,800m,19,1146.0174950995975
1:44.96,TSHEPISO MASALELA,BOT,"Stade Charléty, Paris (FRA)",800m,2024-07-07,1175,BOT,25 May 1999,800m,25,1145.9891466332908
13:09.76,CORNELIUS KEMBOI,KEN,"FBK Stadium, Hengelo (NED)",5000m,2024-07-07,1174,KEN,29 Feb 2000,5000m,25,1145.0138367212626
13:05.00,ARON KIFLE,ERI,"LAZ Wien, Wien (AUT)",5000m,2024-06-22,1191,ERI,20 Feb 1998,5000m,40,1144.300222030417
8:18.83,LOUIS GILAVERT,FRA,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1172,FRA,01 Jan 1998,3000m SC,25,1143.0632168972058
8:16.98,FREDERIK RUPPERT,GER,"Eintracht-Stadion, Braunschweig (GER)",3000m SC,2024-06-29,1180,GER,19 Feb 1997,3000m SC,33,1141.6955003150579
3:35.90,MOHAMED AMIN JHINAOUI,TUN,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",1500m,2024-07-14,1162,TUN,02 Apr 1997,3000m SC,18,1141.2711196003454
12:54.10,BINIAM MEHARY,ETH,"Drake Stadium, Los Angeles, CA (USA)",5000m,2024-05-17,1231,ETH,20 Dec 2006,"10000m, 5000m",76,1140.9107502745994
1:44.60,MOHAMED ALI GOUANED,ALG,"Golęcin Stadion, Poznan (POL)",800m,2024-06-23,1186,ALG,05 Jul 2002,800m,39,1140.636341047591
1:45.91,PETER BOL,AUS,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",800m,2024-07-27,1146,AUS,22 Feb 1994,800m,5,1140.2843011548139
1:44.53,MARK ENGLISH,IRL,"Estadio Vallehermoso, Madrid (ESP)",800m,2024-06-21,1188,IRL,18 Mar 1993,800m,41,1140.2770063779851
13:09.01,ABDIHAMID NUR,USA,"Hayward Field, Eugene, OR (USA)",5000m,2024-06-30,1177,USA,14 Oct 1997,5000m,32,1139.9322471072155
13:08.85,GRANT FISHER,USA,"Hayward Field, Eugene, OR (USA)",5000m,2024-06-30,1177,USA,22 Apr 1997,"10000m, 5000m",32,1139.9322471072155
2:04:01,ALEXANDER MUNYAO,KEN,London (GBR),Marathon,2024-04-21,1262,KEN,10 Sep 1996,Marathon,102,1139.6232942061224
3:33.30,JOCHEM VERMEULEN,BEL,"Stadio Olimpico, Roma (ITA)",1500m,2024-06-12,1198,BEL,02 Aug 1998,1500m,50,1139.5728505518555
12:54.66,SAM ATKIN,GBR,"Drake Stadium, Los Angeles, CA (USA)",5000m,2024-05-17,1229,GBR,14 Mar 1993,5000m,76,1139.0571178614807
3:33.40,RUBEN VERHEYDEN,BEL,"Stadio Olimpico, Roma (ITA)",1500m,2024-06-12,1197,BEL,22 Dec 2000,1500m,50,1138.6216211273547
8:10.73,GETNET WALE,ETH,"Olympiastadion, Stockholm (SWE)",3000m SC,2024-06-02,1209,ETH,16 Jul 2000,3000m SC,60,1138.5933211033566
1:45.97,SAMUEL PIHLSTRÖM,SWE,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",800m,2024-07-27,1144,SWE,08 Mar 2001,1500m,5,1138.2942761964287
1:45.35,MAX BURGIN,GBR,"Woodside Stadium, Watford (GBR)",800m,2024-07-10,1163,GBR,20 May 2002,800m,22,1137.6933933645573
2:04:15,KENENISA BEKELE,ETH,London (GBR),Marathon,2024-04-21,1258,ETH,13 Jun 1982,Marathon,102,1136.011175999447
3:33.60,RAPHAEL PALLITSCH,AUT,"Stadio Olimpico, Roma (ITA)",1500m,2024-06-12,1194,AUT,18 Dec 1989,1500m,50,1135.7679328538525
13:07.77,DAWIT SEARE,ERI,"LAZ Wien, Wien (AUT)",5000m,2024-06-22,1181,ERI,29 Dec 2004,5000m,40,1134.6923276388936
12:56.07,STEWART MCSWEYN,AUS,"Drake Stadium, Los Angeles, CA (USA)",5000m,2024-05-17,1224,AUS,01 Jun 1995,"1500m, 5000m",76,1134.423036828684
3:48.95,COLE HOCKER,USA,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1214,USA,06 Jun 2001,1500m,68,1134.1922149227373
3:49.09,GEORDIE BEAMISH,NZL,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1213,NZL,24 Oct 1996,3000m SC,68,1133.25795444916
8:18.82,RUBEN QUERINJEAN,LUX,"Stade de Luxembourg, Luxembourg (LUX)",3000m SC,2024-06-28,1172,LUX,22 Dec 2001,3000m SC,34,1132.8218034351578
8:14.41,KARL BEBENDORF,GER,"Stadio Olimpico, Roma (ITA)",3000m SC,2024-06-10,1192,GER,07 May 1996,3000m SC,52,1131.6000092767242
3:37.73,AHMED JAZIRI,TUN,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",1500m,2024-07-27,1137,TUN,16 Dec 1997,3000m SC,5,1131.3291888420797
12:56.43,MOHAMED ISMAIL,DJI,"Olympiastadion, Stockholm (SWE)",5000m,2024-05-15,1223,DJI,01 Jan 1997,5000m,78,1131.2314936627486
3:35.49,ADEL MECHAAL,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",1500m,2024-06-30,1168,ESP,05 Dec 1990,"1500m, 5000m",32,1131.2156878685028
12:56.53,ISAAC KIMELI,BEL,"Olympiastadion, Stockholm (SWE)",5000m,2024-05-15,1222,BEL,09 Mar 1994,"10000m, 5000m",78,1130.306529236205
13:10.99,MOHAMMED AHMED,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",5000m,2024-06-27,1170,CAN,05 Jan 1991,"10000m, 5000m",35,1129.7583370213529
1:45.23,CORENTIN LE CLEZIO,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,2024-06-30,1166,FRA,24 Sep 1999,800m,32,1129.2786747043444
13:14.01,YVES NIMUBONA,RWA,"Parc des Sports, Maisons-Laffitte (FRA)",5000m,2024-07-06,1159,RWA,15 Aug 1998,10000m,26,1129.2543688565406
1:00:17,TEBELLO RAMAKONGOANA,LES,"Two Harbors to Duluth,, Duluth, MN (USA)",Half Marathon,2024-06-22,1175,LES,13 Oct 1996,Marathon,40,1128.9275910039798
8:09.40,SOUFIANE EL BAKKALI,MAR,"Le Grand Stade, Marrakech (MAR)",3000m SC,2024-05-19,1215,MAR,07 Jan 1996,3000m SC,74,1128.336108017164
1:45.02,ALEX NGENO KIPNGETICH,KEN,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,2024-06-23,1173,KEN,17 Aug 2000,800m,39,1128.1335818286882
13:12.61,GRAHAM BLANKS,USA,"Hayward Field, Eugene, OR (USA)",5000m,2024-06-30,1164,USA,24 Apr 2002,5000m,32,1127.341661540186
3:35.80,STEFAN NILLESSEN,NED,"FBK Stadium, Hengelo (NED)",1500m,2024-06-30,1164,NED,02 Jan 2003,1500m,32,1127.341661540186
3:34.73,ERMIAS GIRMA,ETH,"Paavo Nurmen Stadion, Turku (FIN)",1500m,2024-06-18,1178,ETH,20 Jan 2005,1500m,44,1127.291761903249
13:10.06,SANTIAGO CATROFE,URU,"LAZ Wien, Wien (AUT)",5000m,2024-06-22,1173,URU,13 Feb 1999,5000m,40,1127.0060121256752
3:34.01,JAKE WIGHTMAN,GBR,"Icahn Stadium, New York, NY (USA)",1500m,2024-06-09,1188,GBR,11 Jul 1994,800m,53,1126.6754548289703
8:21.00,YASSIN BOUIH,ITA,"Campo Montagna, La Spezia (ITA)",3000m SC,2024-06-30,1162,ITA,24 Nov 1996,3000m SC,32,1125.4046483760276
3:36.31,CAMERON MYERS,AUS,"Stade Jean Adret, Sotteville-lès-Rouen (FRA)",1500m,2024-07-04,1157,AUS,09 Jun 2006,1500m,28,1125.0533403890427
1:45.36,HANDAL ROBAN,VIN,"Franklin Field, Philadelphia, PA (USA)",800m,2024-06-29,1162,VIN,05 Sep 2002,800m,33,1124.2798062424552
1:44.04,JAMES PRESTON,NZL,"TSV Stadion, Pfungstadt (GER)",800m,2024-05-25,1203,NZL,08 May 1997,800m,68,1123.915349713388
13:15.58,CÉLESTIN NDIKUMANA,BDI,"Parc des Sports, Maisons-Laffitte (FRA)",5000m,2024-07-06,1153,BDI,22 Feb 2002,10000m,26,1123.408358318888
3:35.35,KIERAN LUMB,CAN,"Estadio Vallehermoso, Madrid (ESP)",1500m,2024-06-21,1170,CAN,02 Aug 1998,1500m,41,1123.0000820389248
3:34.83,LOUIS GILAVERT,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,2024-06-15,1177,FRA,01 Jan 1998,3000m SC,47,1122.9608669638667
1:45.47,YANIS MEZIANE,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,2024-06-30,1159,FRA,26 Jan 2002,800m,32,1122.49912862979
1:46.52,JAKUB DUDYCHA,CZE,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",800m,2024-07-27,1128,CZE,05 Sep 2005,800m,5,1122.3740765293458
3:37.92,MOHAMMED AHMED,CAN,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,2024-07-20,1135,CAN,05 Jan 1991,"10000m, 5000m",12,1121.461394098291
8:22.03,OSAMA ZOGHLAMI,ITA,"Campo Montagna, La Spezia (ITA)",3000m SC,2024-06-30,1157,ITA,19 Jun 1994,3000m SC,32,1120.5621154656317
1:45.55,ADRIÁN BEN,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",800m,2024-06-30,1157,ESP,04 Aug 1998,800m,32,1120.5621154656317
1:45.53,ELVIN JOSUÉ CANALES,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",800m,2024-06-30,1157,ESP,05 Sep 2001,800m,32,1120.5621154656317
3:34.76,ANDREW COSCORAN,IRL,"Stadio Olimpico, Roma (ITA)",1500m,2024-06-12,1178,IRL,18 Jun 1996,1500m,50,1120.5482620618411
13:14.36,JAKOB INGEBRIGTSEN,NOR,"Sandnes Stadion, Sandnes (NOR)",5000m,2024-06-29,1158,NOR,19 Sep 2000,"1500m, 5000m",33,1120.4096520040991
3:50.14,MARIO GARCÍA,ESP,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1199,ESP,29 Jun 1999,1500m,68,1120.178307819079
2:04:45,ABDI NAGEEYE,NED,Rotterdam (NED),Marathon,2024-04-14,1249,NED,02 Mar 1989,Marathon,109,1120.0162914552961
13:00.48,MORGAN MCDONALD,AUS,"Drake Stadium, Los Angeles, CA (USA)",5000m,2024-05-17,1208,AUS,23 Apr 1996,5000m,76,1119.5939775237337
3:35.71,LUKE MCCANN,IRL,"Centre sportif Bout-du-Monde, Genève (SUI)",1500m,2024-06-22,1165,IRL,12 Mar 1998,1500m,40,1119.3196966124565
