Athlete,Nat,Birthdate,Event
EMMANUEL WANYONYI,KEN,01 Aug 2004,800m
JAKE WIGHTMAN,GBR,11 Jul 1994,800m
PIETRO ARESE,ITA,08 Oct 1999,1500m
TIMOTHY CHERUIYOT,KEN,20 Nov 1995,1500m
REYNOLD KIPKORIR CHERUIYOT,KEN,30 Jul 2004,1500m
ANDREW COSCORAN,IRL,18 Jun 1996,1500m
CATHAL DOYLE,IRL,12 Nov 1997,1500m
ANASS ESSAYI,MAR,18 May 2001,1500m
ROBERT FARKEN,GER,20 Sep 1997,1500m
ABDISA FAYISA,ETH,24 Apr 2005,1500m
IGNACIO FONTES,ESP,22 Jun 1998,1500m
MARIO GARCÍA,ESP,29 Jun 1999,1500m
ELLIOT GILES,GBR,26 May 1994,1500m
ERMIAS GIRMA,ETH,20 Jan 2005,1500m
NEIL GOURLEY,GBR,07 Feb 1995,1500m
MAËL GOUYETTE,FRA,21 May 1999,1500m
AZEDDINE HABZ,FRA,19 Jul 1993,1500m
OLIVER HOARE,AUS,29 Jan 1997,1500m
COLE HOCKER,USA,06 Jun 2001,1500m
JAKOB INGEBRIGTSEN,NOR,19 Sep 2000,1500m
JOSH KERR,GBR,08 Oct 1997,1500m
HOBBS KESSLER,USA,15 Mar 2003,1500m
ABEL KIPSANG,KEN,22 Nov 1996,1500m
BRIAN KOMEN,KEN,10 Aug 1998,1500m
NIELS LAROS,NED,17 Apr 2005,1500m
KIERAN LUMB,CAN,02 Aug 1998,1500m
LUKE MCCANN,IRL,12 Mar 1998,1500m
STEWART MCSWEYN,AUS,01 Jun 1995,1500m
ADEL MECHAAL,ESP,05 Dec 1990,1500m
OSSAMA MESLEK,ITA,08 Jan 1997,1500m
GEORGE MILLS,GBR,12 May 1999,1500m
RYAN MPHAHLELE,RSA,20 Jun 1998,1500m
CAMERON MYERS,AUS,09 Jun 2006,1500m
ISAAC NADER,POR,17 Aug 1999,1500m
STEFAN NILLESSEN,NED,02 Jan 2003,1500m
NARVE GILJE NORDÅS,NOR,30 Sep 1998,1500m
YARED NUGUSE,USA,01 Jun 1999,1500m
RAPHAEL PALLITSCH,AUT,18 Dec 1989,1500m
CHARLES PHILIBERT-THIBOUTOT,CAN,31 Dec 1990,1500m
SAMUEL PIHLSTRÖM,SWE,08 Mar 2001,1500m
MARIUS PROBST,GER,20 Aug 1995,1500m
FILIP RAK,POL,03 Feb 2003,1500m
FEDERICO RIVA,ITA,09 Nov 2000,1500m
ADAM SPENCER,AUS,04 Oct 2001,1500m
SAMUEL TANNER,NZL,24 Aug 2000,1500m
SAMUEL TEFERA,ETH,23 Oct 1999,1500m
TSHEPO TSHITE,RSA,15 Jan 1997,1500m
RUBEN VERHEYDEN,BEL,22 Dec 2000,1500m
JOCHEM VERMEULEN,BEL,02 Aug 1998,1500m
MACIEJ WYDERKA,POL,29 Jul 2002,1500m
RYOMA AOKI,JPN,16 Jun 1997,3000m SC
DANIEL ARCE,ESP,22 Apr 1992,3000m SC
GEORDIE BEAMISH,NZL,24 Oct 1996,3000m SC
KARL BEBENDORF,GER,07 May 1996,3000m SC
DJILALI BEDRANI,FRA,01 Oct 1993,3000m SC
LEONARD KIPKEMOI BETT,KEN,03 Nov 2000,3000m SC
YASSIN BOUIH,ITA,24 Nov 1996,3000m SC
BEN BUCKINGHAM,AUS,08 Nov 1991,3000m SC
NAHUEL CARABAÑA,AND,10 Nov 1999,3000m SC
LEONARD CHEMUTAI,UGA,05 May 2003,3000m SC
MATTHEW CLARKE,AUS,29 Apr 1995,3000m SC
JAMES CORRIGAN,USA,16 Apr 2002,3000m SC
NICOLAS-MARIE DARU,FRA,21 Oct 1988,3000m SC
JEAN-SIMON DESGAGNÉS,CAN,26 Jul 1998,3000m SC
SOUFIANE EL BAKKALI,MAR,07 Jan 1996,3000m SC
FAID EL MOSTAFA,MAR,13 Jan 2000,3000m SC
SAMUEL FIREWU,ETH,03 May 2004,3000m SC
LOUIS GILAVERT,FRA,01 Jan 1998,3000m SC
LAMECHA GIRMA,ETH,26 Nov 2000,3000m SC
TOMÁŠ HABARTA,CZE,10 Jul 2003,3000m SC
EVAN JAGER,USA,08 Mar 1989,3000m SC
AHMED JAZIRI,TUN,16 Dec 1997,3000m SC
MOHAMED AMIN JHINAOUI,TUN,02 Apr 1997,3000m SC
ABRAHAM KIBIWOT,KEN,06 Apr 1996,3000m SC
SIMON KIPROP KOECH,KEN,10 Jun 2003,3000m SC
ALEXIS MIELLET,FRA,05 May 1995,3000m SC
RYUJI MIURA,JPN,11 Feb 2002,3000m SC
RUBEN QUERINJEAN,LUX,22 Dec 2001,3000m SC
TOPI RAITANEN,FIN,07 Feb 1996,3000m SC
KENNETH ROOKS,USA,21 Oct 1999,3000m SC
FREDERIK RUPPERT,GER,19 Feb 1997,3000m SC
AVINASH MUKUND SABLE,IND,13 Sep 1994,3000m SC
VELTEN SCHNEIDER,GER,21 Aug 1999,3000m SC
AMOS SEREM,KEN,28 Aug 2002,3000m SC
ABRHAM SIME,ETH,07 Nov 2001,3000m SC
BILAL TABTI,ALG,07 Jun 1993,3000m SC
MOHAMED TINDOUFT,MAR,12 Mar 1993,3000m SC
GETNET WALE,ETH,16 Jul 2000,3000m SC
MATTHEW WILKINSON,USA,27 Dec 1998,3000m SC
OSAMA ZOGHLAMI,ITA,19 Jun 1994,3000m SC
MOHAMMED AHMED,CAN,05 Jan 1991,5000m
ANDREAS ALMGREN,SWE,12 Jun 1995,5000m
SAM ATKIN,GBR,14 Mar 1993,5000m
BIRHANU BALEW,BRN,27 Feb 1996,5000m
SELEMON BAREGA,ETH,20 Jan 2000,5000m
ELZAN BIBIĆ,SRB,08 Jan 1999,5000m
GRAHAM BLANKS,USA,24 Apr 2002,5000m
SANTIAGO CATROFE,URU,13 Feb 1999,5000m
OSCAR CHELIMO,UGA,12 Dec 2001,5000m
JOSHUA CHEPTEGEI,UGA,12 Sep 1996,5000m
PATRICK DEVER,GBR,05 Sep 1996,5000m
THOMAS FAFARD,CAN,06 Dec 1998,5000m
BRIAN FAY,IRL,09 Nov 1998,5000m
GRANT FISHER,USA,22 Apr 1997,5000m
BENJAMIN FLANAGAN,CAN,11 Jan 1995,5000m
MIKE FOPPEN,NED,29 Nov 1996,5000m
HAGOS GEBRHIWET,ETH,11 May 1994,5000m
JIMMY GRESSIER,FRA,04 May 1997,5000m
LUIS GRIJALVA,GUA,10 Apr 1999,5000m
HUGO HAY,FRA,28 Mar 1997,5000m
JOHN HEYMANS,BEL,09 Jan 1998,5000m
JAKOB INGEBRIGTSEN,NOR,19 Sep 2000,5000m
MOHAMED ISMAIL,DJI,01 Jan 1997,5000m
CORNELIUS KEMBOI,KEN,29 Feb 2000,5000m
ARON KIFLE,ERI,20 Feb 1998,5000m
ISAAC KIMELI,BEL,09 Mar 1994,5000m
JACOB KIPLIMO,UGA,14 Nov 2000,5000m
JACOB KROP,KEN,04 Jun 2001,5000m
EDWIN KURGAT,KEN,19 May 1996,5000m
RONALD KWEMOI,KEN,19 Sep 1995,5000m
DOMINIC LOKINYOMO LOBALU,EOR,16 Aug 1998,5000m
MORGAN MCDONALD,AUS,23 Apr 1996,5000m
SEAN MCGORTY,USA,08 Mar 1995,5000m
STEWART MCSWEYN,AUS,01 Jun 1995,5000m
ADEL MECHAAL,ESP,05 Dec 1990,5000m
BINIAM MEHARY,ETH,20 Dec 2006,5000m
GEORGE MILLS,GBR,12 May 1999,5000m
THIERRY NDIKUMWENAYO,ESP,26 Mar 1997,5000m
NARVE GILJE NORDÅS,NOR,30 Sep 1998,5000m
EGIDE NTAKARUTIMANA,BDI,21 Oct 1997,5000m
ABDIHAMID NUR,USA,14 Oct 1997,5000m
JONAS RAESS,SUI,08 Mar 1994,5000m
JACK ROWE,GBR,30 Jan 1996,5000m
YANN SCHRUB,FRA,20 Mar 1996,5000m
DAWIT SEARE,ERI,29 Dec 2004,5000m
ABDI WAISS,DJI,03 Jul 1996,5000m
ADDISU YIHUNE,ETH,17 Mar 2003,5000m
MOHAMMED AHMED,CAN,05 Jan 1991,10000m
BERIHU AREGAWI,ETH,28 Feb 2001,10000m
BIRHANU BALEW,BRN,27 Feb 1996,10000m
SELEMON BAREGA,ETH,20 Jan 2000,10000m
JOSHUA CHEPTEGEI,UGA,12 Sep 1996,10000m
JAMAL ABDELMAJI EISA MOHAMMED,EOR,25 Aug 1993,10000m
GRANT FISHER,USA,22 Apr 1997,10000m
JIMMY GRESSIER,FRA,04 May 1997,10000m
JUN KASAI,JPN,24 Oct 2000,10000m
YOMIF KEJELCHA,ETH,01 Aug 1997,10000m
BENARD KIBET,KEN,25 Nov 1999,10000m
ISAAC KIMELI,BEL,09 Mar 1994,10000m
WILLIAM KINCAID,USA,21 Sep 1992,10000m
NICHOLAS KIPKORIR,KEN,29 Sep 1998,10000m
BENSON KIPLANGAT,KEN,17 Jun 2003,10000m
JACOB KIPLIMO,UGA,14 Nov 2000,10000m
MARTIN MAGENGO KIPROTICH,UGA,06 Apr 2003,10000m
RODRIGUE KWIZERA,BDI,10 Oct 1999,10000m
DANIEL MATEIKO,KEN,04 Aug 1998,10000m
MERHAWI MEBRAHTU,ERI,21 Sep 2003,10000m
BINIAM MEHARY,ETH,20 Dec 2006,10000m
CÉLESTIN NDIKUMANA,BDI,22 Feb 2002,10000m
THIERRY NDIKUMWENAYO,ESP,26 Mar 1997,10000m
YVES NIMUBONA,RWA,15 Aug 1998,10000m
TOMOKI OTA,JPN,17 Oct 1997,10000m
ABDESSAMAD OUKHELFEN,ESP,18 Dec 1998,10000m
YANN SCHRUB,FRA,20 Mar 1996,10000m
ADRIAAN WILDSCHUTT,RSA,03 May 1998,10000m
NICO YOUNG,USA,27 Jul 2002,10000m
YASEEN ABDALLA,SUD,13 Aug 2001,Marathon
BASHIR ABDI,BEL,10 Feb 1989,Marathon
TADESSE ABRAHAM,SUI,12 Aug 1982,Marathon
LIAM ADAMS,AUS,04 Sep 1986,Marathon
AKIRA AKASAKI,JPN,21 Jan 1998,Marathon
HAIMRO ALAME,ISR,08 Jun 1990,Marathon
MOATH ALKHAWALDEH,JOR,22 Oct 1988,Marathon
GIRMAW AMARE,ISR,26 Oct 1987,Marathon
SAMSOM AMARE,ERI,01 Jan 1994,Marathon
MORHAD AMDOUNI,FRA,21 Jun 1988,Marathon
GASHAU AYALE,ISR,22 Aug 1996,Marathon
SAMUEL BARATA,POR,19 Jul 1993,Marathon
SER-OD BAT-OCHIR,MGL,07 Oct 1981,Marathon
KENENISA BEKELE,ETH,13 Jun 1982,Marathon
VALENTIN BETOUDJI,CHA,14 Feb 1991,Marathon
FELIX BOUR,FRA,25 Mar 1994,Marathon
ANDREW BUCHANAN,AUS,10 Apr 1991,Marathon
EMILE CAIRESS,GBR,27 Dec 1997,Marathon
HUGO CATRILEO,CHI,23 Jan 1997,Marathon
HASSAN CHAHDI,FRA,07 May 1989,Marathon
IBRAHIM CHAKIR,ESP,04 Sep 1994,Marathon
KHALID CHOUKOUD,NED,23 Mar 1986,Marathon
YEMANEBERHAN CRIPPA,ITA,15 Oct 1996,Marathon
SHOKHRUKH DAVLYATOV,UZB,07 Mar 1996,Marathon
CARLOS DÍAZ,CHI,09 Jul 1993,Marathon
OTHMANE EL GOUMRI,MAR,28 May 1992,Marathon
EYOB FANIEL,ITA,26 Nov 1992,Marathon
SAMUEL FITWI SIBHATU,GER,01 Jan 1996,Marathon
SAMUEL FREIRE,CPV,28 Aug 1990,Marathon
TACHLOWINI GABRIYESOS,EOR,01 Jan 1998,Marathon
EDUARDO TERRANCE GARCIA,ISV,20 Nov 1992,Marathon
HÉCTOR GARIBAY,BOL,09 Jul 1988,Marathon
GABRIEL GERALD GEAY,TAN,10 Sep 1996,Marathon
ELROY GELANT,RSA,25 Aug 1986,Marathon
DERESA GELETA,ETH,14 Jan 1996,Marathon
ALBERTO GONZALEZ MINDEZ,GUA,28 Feb 1996,Marathon
IL RYONG HAN,PRK,29 Apr 2000,Marathon
IBRAHIM HASSAN,DJI,01 Jan 1997,Marathon
SULDAN HASSAN,SWE,01 Apr 1998,Marathon
JIE HE,CHN,27 Dec 1998,Marathon
DARIO IVANOVSKI,MKD,15 May 1997,Marathon
YUKI KAWAUCHI,JPN,05 Mar 1987,Marathon
ELKANAH KIBET,USA,02 Jun 1983,Marathon
ELIUD KIPCHOGE,KEN,05 Nov 1984,Marathon
TIMOTHY KIPLAGAT,KEN,18 Sep 1993,Marathon
VICTOR KIPLANGAT,UGA,10 Nov 1999,Marathon
BENSON KIPRUTO,KEN,17 Mar 1991,Marathon
STEPHEN KISSA,UGA,01 Dec 1988,Marathon
LEONARD KORIR,USA,10 Dec 1986,Marathon
NAOKI KOYAMA,JPN,12 May 1996,Marathon
ANDREW ROTICH KWEMOI,UGA,01 Sep 2000,Marathon
MATTHIAS KYBURZ,SUI,05 Mar 1990,Marathon
SISAY LEMMA,ETH,12 Dec 1990,Marathon
CAMERON LEVINS,CAN,28 Mar 1989,Marathon
RORY LINKLETTER,CAN,12 Aug 1996,Marathon
MAHAMED MAHAMED,GBR,18 Sep 1997,Marathon
CONNER MANTZ,USA,08 Dec 1996,Marathon
DANIELE MEUCCI,ITA,07 Oct 1985,Marathon
ZEREI KBROM MEZNGI,NOR,12 Jan 1986,Marathon
SONDRE NORDSTAD MOEN,NOR,12 Jan 1991,Marathon
STEPHEN MOKOKA,RSA,31 Jan 1985,Marathon
ISAAC MPOFU,ZIM,20 Aug 1988,Marathon
ALEXANDER MUNYAO,KEN,10 Sep 1996,Marathon
KOEN NAERT,BEL,03 Sep 1989,Marathon
ABDI NAGEEYE,NED,02 Mar 1989,Marathon
NICOLAS NAVARRO,FRA,12 Mar 1991,Marathon
TARIKU NOVALES,ESP,08 Mar 1998,Marathon
SUGURU OSAKO,JPN,23 May 1991,Marathon
MOHCIN OUTALHA,MAR,15 Dec 1998,Marathon
KAAN KIGEN ÖZBILEN,TUR,15 Jan 1986,Marathon
CHRISTIAN PACHECO,PER,26 May 1993,Marathon
AMANAL PETROS,GER,17 May 1995,Marathon
TEBELLO RAMAKONGOANA,LES,13 Oct 1996,Marathon
RICHARD RINGER,GER,27 Feb 1989,Marathon
YAGO ROJO,ESP,23 Mar 1995,Marathon
PHILIP SESEMANN,GBR,03 Oct 1992,Marathon
ALPHONCE FELIX SIMBU,TAN,14 Feb 1992,Marathon
MICHAEL SOMERS,BEL,02 Mar 1995,Marathon
ZOUHAIR TALBI,MAR,08 Apr 1995,Marathon
MARU TEFERI,ISR,17 Aug 1992,Marathon
BERHANE TESFAY,ERI,09 Jan 1987,Marathon
HENOK TESFAY,ERI,22 Nov 2000,Marathon
PATRICK TIERNAN,AUS,11 Sep 1994,Marathon
TAMIRAT TOLA,ETH,11 Aug 1991,Marathon
KIBROM WELDEMICAEL,ERI,01 Feb 1987,Marathon
XIANGDONG WU,CHN,17 Jan 1994,Marathon
SHAOHUI YANG,CHN,09 Jul 1992,Marathon
CLAYTON YOUNG,USA,14 Sep 1993,Marathon
